case,direction,token,attribution,tag
0,toward Async Wait,Wrapper,0.06445293838829369,-
0,toward Async Wait,Termination,0.03577277186836765,-
0,toward Async Wait,Wrapper,0.03462645465738182,-
0,toward Async Wait,DEFAULT,0.03355079913438855,-
0,toward Async Wait,Robust,0.03210405090314236,-
0,toward Concurrency,get,0.020338116122255834,-
0,toward Concurrency,get,0.013033628187363928,-
0,toward Concurrency,get,0.010291985277164328,-
0,toward Concurrency,Job,0.010287265123048946,-
0,toward Concurrency,Job,0.00827620131251425,-
2,toward Async Wait,During,0.02796629973172382,-
2,toward Async Wait,Exception,0.02372681442526363,-
2,toward Async Wait,start,0.023569762981406464,-
2,toward Async Wait,restore,0.022982924242616894,-
2,toward Async Wait,Prepare,0.022973133774163716,-
2,toward Concurrency,True,0.25953956909015047,-
2,toward Concurrency,True,0.25509210676279453,-
2,toward Concurrency,Run,0.16935008826314718,-
2,toward Concurrency,Thread,0.14891302035980455,CONC
2,toward Concurrency,Thread,0.14192521149981205,CONC
16,toward Async Wait,Suppress,0.17723018907948837,-
16,toward Async Wait,Observable,0.10795534972754783,-
16,toward Async Wait,arnings,0.09502364045464332,-
16,toward Async Wait,unchecked,0.07850056717859072,-
16,toward Async Wait,Subscriber,0.06220772453390601,-
16,toward Concurrency,in,0.01953171901321099,-
16,toward Concurrency,Order,0.017558716912569786,-
16,toward Concurrency,Order,0.014890363139125982,-
16,toward Concurrency,ts,0.014216278841126508,-
16,toward Concurrency,Completed,0.013662046236863463,-
7,toward Async Wait,await,0.16504834701529564,ambig
7,toward Async Wait,Interrupted,0.11200035953503494,CONC
7,toward Async Wait,catch,0.08281126259226526,-
7,toward Async Wait,Lock,0.07735935585778461,CONC
7,toward Async Wait,Subscriber,0.07122656382651907,-
7,toward Concurrency,Runtime,0.23928605231143518,-
7,toward Concurrency,stor,0.1568594146665346,-
7,toward Concurrency,Thread,0.14556604654032496,CONC
7,toward Concurrency,Run,0.14223154765324136,-
7,toward Concurrency,able,0.13542811731449844,-
12,toward Async Wait,Compaction,0.0578245881329156,-
12,toward Async Wait,coordinator,0.036079397636711856,-
12,toward Async Wait,Instance,0.034670549646661004,-
12,toward Async Wait,coordinator,0.029603441747598446,-
12,toward Async Wait,On,0.0283235853268956,-
12,toward Concurrency,fs,0.06440601160759199,-
12,toward Concurrency,fs,0.056081998289498294,-
12,toward Concurrency,Compaction,0.03328823997209464,-
12,toward Concurrency,OSSIP,0.02941765229543175,-
12,toward Concurrency,flush,0.0288223088621876,-
4,toward Time,Observable,0.21741403107330648,-
4,toward Time,Race,0.09257335983364652,CONC
4,toward Time,return,0.07842768642328583,-
4,toward Time,Observable,0.07389080648948204,-
4,toward Time,Publish,0.07339816280699246,-
4,toward Concurrency,ps,0.029811145188687133,-
4,toward Concurrency,Source,0.027109746303345263,-
4,toward Concurrency,Function,0.025735848269724474,-
4,toward Concurrency,ps,0.022459765616385435,-
4,toward Concurrency,new,0.011384186448342149,-
6,toward Time,Unthrottled,0.16947658175221458,-
6,toward Time,Size,0.1581516812102447,-
6,toward Time,cleanup,0.13159217983162047,-
6,toward Time,final,0.12167751903029296,-
6,toward Time,final,0.1161965964591227,-
6,toward Concurrency,Status,0.0398389719209563,-
6,toward Concurrency,Status,0.03394758792212206,-
6,toward Concurrency,That,0.027954089410749138,-
6,toward Concurrency,new,0.026742939410300565,-
6,toward Concurrency,Duration,0.026301042941166215,time
8,toward Concurrency,fail,0.07924837080138539,-
8,toward Concurrency,Throwable,0.06658341181632639,-
8,toward Concurrency,Mode,0.05467942506565089,-
8,toward Concurrency,catch,0.04578292142960777,-
8,toward Concurrency,Config,0.04090271079707289,-
